Wall time,Step,Value
1716243883.4191782,275600,-31.95995330810547
1716243911.510022,276000,-32.665748596191406
1716243965.884299,276600,-31.650440216064453
1716243993.7545953,277000,-31.342529296875
1716244007.7230272,277200,-33.31708526611328
1716244050.0002844,277800,-32.70329666137695
1716244063.9557884,278000,-31.073688507080078
1716244092.0416284,278400,-30.164661407470703
1716244106.0768447,278600,-35.02791976928711
1716244148.4930499,279200,-30.587894439697266
1716244399.983552,282600,-30.674575805664062
1716244414.1274405,282800,-31.181198120117188
1716244440.4529538,283000,-30.44725799560547
1716244510.0597138,284000,-31.928577423095703
1716244552.462354,284600,-33.275577545166016
1716244608.359579,285400,-32.63837814331055
1716244622.504286,285600,-30.21660614013672
1716244636.6152272,285800,-30.63313865661621
1716244705.4558232,286600,-31.78961944580078
1716244719.3378057,286800,-30.264629364013672
1716244733.2319603,287000,-29.116479873657227
1716244761.0712366,287400,-34.81230926513672
1716244816.8734376,288200,-31.369606018066406
1716244845.1986837,288600,-29.286357879638672
1716244969.9135427,290200,-30.576902389526367
1716245039.6219964,291200,-31.801685333251953
1716245053.362137,291400,-31.671630859375
1716245191.905201,293200,-30.855926513671875
1716245206.1089463,293400,-34.366981506347656
1716245360.0472476,295600,-30.046409606933594
1716245483.7917142,297200,-31.826913833618164
1716245497.7416692,297400,-33.21196365356445
1716245539.9639764,298000,-30.525596618652344
1716245567.9486449,298400,-31.28292465209961
1716245581.7848098,298600,-31.48202896118164
1716245928.0515907,300200,-33.52080154418945
1716245942.0742595,300400,-31.743120193481445
1716245955.8154142,300600,-30.85934066772461
1716245969.7713032,300800,-31.635066986083984
1716246011.6156547,301400,-32.26233673095703
1716246040.2055438,301800,-31.541481018066406
1716246054.1889265,302000,-33.827392578125
1716246080.4863849,302200,-34.01671600341797
1716246192.1993327,303800,-32.95533752441406
1716246262.261531,304800,-32.20056915283203
1716246276.1922693,305000,-30.847110748291016
1716246330.6620505,305600,-32.370140075683594
1716246428.2127008,307000,-31.772022247314453
1716246456.7935555,307400,-33.37063980102539
1716246609.5001686,309400,-31.471187591552734
1716246679.5548308,310400,-29.982440948486328
1716246693.643104,310600,-34.48884582519531
1716246721.672752,311000,-32.92402267456055
1716246735.8173215,311200,-34.21550750732422
1716246832.4341586,312400,-32.00276565551758
1716246930.6252902,313800,-30.691761016845703
1716246944.413812,314000,-32.819725036621094
1716247083.5514922,315800,-30.306262969970703
1716247139.429854,316600,-34.68219757080078
1716247167.1853426,317000,-31.81216812133789
1716247223.278988,317800,-33.657047271728516
1716247361.7662718,319600,-30.160634994506836
1716247389.4209797,320000,-30.54031753540039
1716247431.2214518,320600,-31.120548248291016
1716247459.3665876,321000,-31.879474639892578
1716247473.1595008,321200,-33.05635452270508
1716247556.3348327,322200,-29.8973331451416
1716247598.1783535,322800,-31.04627799987793
1716247667.9500482,323800,-32.13143539428711
1716247695.8948085,324200,-30.484386444091797
1716247792.2283452,325400,-30.759166717529297
